active_clients,local_steps,method,staleness,staleness_weight,step,time,train_loss
,1,AsyncSGD,7,0.125,134,59,1.3848358049988747
,1,AsyncSGD,5,0.16666666666666666,135,59,1.3734023317694664
,1,AsyncSGD,3,0.25,136,59,1.3585896015167236
,1,AsyncSGD,9,0.1,137,60,1.3447892785072326
,1,AsyncSGD,3,0.25,138,60,1.3177761003375053
,1,AsyncSGD,10,0.09090909090909091,139,61,1.3016801729798317
,1,AsyncSGD,6,0.14285714285714285,140,61,1.2868000000715256
,1,AsyncSGD,5,0.16666666666666666,141,61,1.2639381036162376
,1,AsyncSGD,10,0.09090909090909091,142,62,1.2575977504253388
,1,AsyncSGD,1,0.5,143,62,1.2111263304948807
,1,AsyncSGD,13,0.07142857142857142,144,63,1.2088443771004678
,1,AsyncSGD,8,0.1111111111111111,145,63,1.1984212830662728
,1,AsyncSGD,7,0.125,146,63,1.1935775563120843
,1,AsyncSGD,7,0.125,147,64,1.1842039555311203
,1,AsyncSGD,5,0.16666666666666666,148,64,1.1796124666929244
,1,AsyncSGD,3,0.25,149,64,1.1658723562955857
,1,AsyncSGD,12,0.07692307692307693,150,65,1.1621256709098815
,1,AsyncSGD,6,0.14285714285714285,151,65,1.1522729128599167
,1,AsyncSGD,11,0.08333333333333333,152,66,1.149394005537033
,1,AsyncSGD,3,0.25,153,66,1.1335427314043045
,1,AsyncSGD,10,0.09090909090909091,154,67,1.125469534099102
,1,AsyncSGD,8,0.1111111111111111,155,67,1.1181410193443297
,1,AsyncSGD,8,0.1111111111111111,156,67,1.106778110563755
,1,AsyncSGD,8,0.1111111111111111,157,68,1.1030291050672532
,1,AsyncSGD,7,0.125,158,70,1.0958904042840003
,1,AsyncSGD,7,0.125,159,70,1.0872596636414529
,1,AsyncSGD,7,0.125,160,71,1.0741777777671815
,3,Async-LocalSGD,0,1.0,1,1,10.042653775215149
,3,Async-LocalSGD,1,0.5,2,2,6.6736820936203
,3,Async-LocalSGD,2,0.3333333333333333,3,2,5.841875517368317
,3,Async-LocalSGD,3,0.25,4,3,5.06416762471199
,3,Async-LocalSGD,4,0.2,5,3,4.188284200429917
,3,Async-LocalSGD,5,0.16666666666666666,6,5,3.813152453303337
,3,Async-LocalSGD,6,0.14285714285714285,7,5,3.468603125214577
,3,Async-LocalSGD,7,0.125,8,5,3.233555534482002
,3,Async-LocalSGD,5,0.16666666666666666,9,5,3.0579254925251007
,3,Async-LocalSGD,8,0.1111111111111111,10,6,2.794680580496788
,3,Async-LocalSGD,4,0.2,11,6,2.6281801491975783
,3,Async-LocalSGD,2,0.3333333333333333,12,6,2.27580863237381
,3,Async-LocalSGD,8,0.1111111111111111,13,7,2.021748146414757
,3,Async-LocalSGD,8,0.1111111111111111,14,7,1.9247232779860497
,3,Async-LocalSGD,7,0.125,15,7,1.7449300289154053
,3,Async-LocalSGD,3,0.25,16,7,1.5161755457520485
,3,Async-LocalSGD,14,0.06666666666666667,17,8,1.4299984365701675
,3,Async-LocalSGD,7,0.125,18,10,1.3286463290452957
,3,Async-LocalSGD,4,0.2,19,10,1.2731704264879227
,3,Async-LocalSGD,4,0.2,20,10,1.2041985780000686
,3,Async-LocalSGD,4,0.2,21,10,1.1042285069823266
,3,Async-LocalSGD,4,0.2,22,10,1.0111218109726905
,3,Async-LocalSGD,14,0.06666666666666667,23,11,0.9965788006782532
,3,Async-LocalSGD,12,0.07692307692307693,24,11,0.9291491828858852
,3,Async-LocalSGD,11,0.08333333333333333,25,12,0.9066985674202442
,3,Async-LocalSGD,6,0.14285714285714285,26,12,0.838253115862608
,3,Async-LocalSGD,6,0.14285714285714285,27,12,0.7779933050274849
,3,Async-LocalSGD,9,0.1,28,13,0.7266260214149952
,3,Async-LocalSGD,6,0.14285714285714285,29,13,0.6633426010608673
,3,Async-LocalSGD,5,0.16666666666666666,30,14,0.6322589837014675
,3,Async-LocalSGD,9,0.1,31,15,0.5811846539378166
,3,Async-LocalSGD,6,0.14285714285714285,32,15,0.536732467263937
,3,Async-LocalSGD,4,0.2,33,15,0.5195212468504906
,3,Async-LocalSGD,6,0.14285714285714285,34,16,0.4632994379848242
,3,Async-LocalSGD,5,0.16666666666666666,35,16,0.4148013424128294
,3,Async-LocalSGD,4,0.2,36,16,0.3765872213989496
,3,Async-LocalSGD,13,0.07142857142857142,37,17,0.36472514010965823
,3,Async-LocalSGD,11,0.08333333333333333,38,18,0.33794613406062124
,3,Async-LocalSGD,5,0.16666666666666666,39,18,0.3113474026322365
